,img_date,img_path,short_term_span,short_term,long_term,nn_short_term_span,nn_short_term,nn_long_term,models agree
81,2021-11-08 02:59:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0259.png,,,,,,,
82,2021-11-08 03:59:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0359.png,,,,,,,
83,2021-11-08 05:00:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0500.png,,,,,,,
84,2021-11-08 06:01:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0601.png,,,,,,,
85,2021-11-08 07:02:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0702.png,,,,,,,
86,2021-11-08 08:03:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0803.png,,,,,,,
87,2021-11-08 09:04:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_0904.png,,,,,,,
88,2021-11-08 10:05:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_1005.png,,,,,,,
89,2021-11-08 11:06:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_1106.png,,,,,,,
90,2021-11-08 12:07:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_1207.png,,,,,,,
91,2021-11-08 13:08:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_1308.png,,,,,,,
92,2021-11-08 14:09:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_1409.png,,,,,,,
93,2021-11-08 15:10:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_1510.png,,,,,,,
94,2021-11-08 16:11:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-08-2021_1611.png,,,,,,,
95,2021-11-11 20:28:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-11-2021_2028.png,,,,,,,
96,2021-11-11 21:29:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-11-2021_2129.png,,,,,,,
97,2021-11-11 22:30:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-11-2021_2230.png,,,,,,,
98,2021-11-11 23:31:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-11-2021_2331.png,,,,,,,
99,2021-11-12 00:32:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0032.png,,,,,,,
100,2021-11-12 01:33:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0133.png,,,,,,,
101,2021-11-12 02:34:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0234.png,,,,,,,
102,2021-11-12 03:35:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0335.png,,,,,,,
103,2021-11-12 04:36:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0436.png,,,,,,,
104,2021-11-12 05:36:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0536.png,,,,,,,
105,2021-11-12 06:38:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0638.png,,,,,,,
106,2021-11-12 07:38:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0738.png,,,,,,,
107,2021-11-12 08:39:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0839.png,,,,,,,
108,2021-11-12 09:41:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_0941.png,,,,,,,
109,2021-11-12 10:42:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_1042.png,,,,,,,
110,2021-11-12 11:42:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_1142.png,,,,,,,
111,2021-11-12 12:43:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_1243.png,,,,,,,
112,2021-11-12 13:45:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_1345.png,,,,,,,
113,2021-11-12 14:46:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_1446.png,,,,,,,
114,2021-11-12 15:46:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_1546.png,,,,,,,
115,2021-11-12 16:47:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-12-2021_1647.png,,,,,,,
116,2021-11-13 09:58:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_0958.png,,,,,,,
117,2021-11-13 10:59:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_1059.png,,,,,,,
118,2021-11-13 12:00:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_1200.png,,,,,,,
119,2021-11-13 13:01:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_1301.png,,,,,,,
120,2021-11-13 14:02:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_1402.png,,,,,,,
121,2021-11-13 15:03:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_1503.png,,,,,,,
122,2021-11-13 16:04:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_1604.png,,,,,,,
123,2021-11-13 21:47:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_2147.png,,,,,,,
124,2021-11-13 22:48:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_2248.png,,,,,,,
125,2021-11-13 23:49:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-13-2021_2349.png,,,,,,,
126,2021-11-14 00:50:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0050.png,,,,,,,
127,2021-11-14 01:51:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0151.png,,,,,,,
128,2021-11-14 02:52:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0252.png,,,,,,,
129,2021-11-14 03:53:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0353.png,,,,,,,
130,2021-11-14 04:54:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0454.png,,,,,,,
131,2021-11-14 05:55:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0555.png,,,,,,,
132,2021-11-14 06:56:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0656.png,,,,,,,
133,2021-11-14 07:57:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0757.png,,,,,,,
